https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume LRC,Volume USD
1699981200000,2023-11-14 17:00:00,LRC/USD,0.225,0.23,0.225,0.225,514.930256,115.8593076
1699977600000,2023-11-14 16:00:00,LRC/USD,0.22968,0.22968,0.225,0.225,1067.53942,240.19636950000003
1699974000000,2023-11-14 15:00:00,LRC/USD,0.225,0.23122,0.225,0.22968,754.053505,173.1910090284
1699970400000,2023-11-14 14:00:00,LRC/USD,0.225,0.225,0.225,0.225,0.0,0.0
1699966800000,2023-11-14 13:00:00,LRC/USD,0.225,0.225,0.225,0.225,0.0,0.0
1699963200000,2023-11-14 12:00:00,LRC/USD,0.225,0.225,0.225,0.225,0.0,0.0
1699959600000,2023-11-14 11:00:00,LRC/USD,0.22775,0.22775,0.225,0.225,3911.264028,880.0344063
1699956000000,2023-11-14 10:00:00,LRC/USD,0.22775,0.22775,0.22775,0.22775,0.0,0.0
1699952400000,2023-11-14 09:00:00,LRC/USD,0.22505,0.22775,0.22505,0.22775,485.140601,110.49077187775
1699948800000,2023-11-14 08:00:00,LRC/USD,0.22505,0.22505,0.22505,0.22505,0.0,0.0
1699945200000,2023-11-14 07:00:00,LRC/USD,0.2325,0.2325,0.225,0.22505,10329.568154,2324.6693130577
1699941600000,2023-11-14 06:00:00,LRC/USD,0.23249,0.2325,0.23249,0.2325,300.663496,69.90426282
1699938000000,2023-11-14 05:00:00,LRC/USD,0.23249,0.23249,0.23249,0.23249,0.0,0.0
1699934400000,2023-11-14 04:00:00,LRC/USD,0.23249,0.23249,0.22478,0.23249,1177.814808,273.83016471192
1699930800000,2023-11-14 03:00:00,LRC/USD,0.23158,0.23249,0.23158,0.23249,201.232559,46.784557641910006
1699927200000,2023-11-14 02:00:00,LRC/USD,0.23158,0.23158,0.23158,0.23158,0.0,0.0
1699923600000,2023-11-14 01:00:00,LRC/USD,0.23158,0.23158,0.23158,0.23158,0.0,0.0
1699920000000,2023-11-14 00:00:00,LRC/USD,0.231,0.23158,0.22782,0.23158,1158.897102,268.37739088116
1699916400000,2023-11-13 23:00:00,LRC/USD,0.2316,0.2316,0.231,0.231,1029.410262,237.79377052200005
1699912800000,2023-11-13 22:00:00,LRC/USD,0.2316,0.2316,0.2316,0.2316,0.0,0.0
1699909200000,2023-11-13 21:00:00,LRC/USD,0.23867,0.23867,0.2316,0.2316,4442.817215,1028.956466994
1699905600000,2023-11-13 20:00:00,LRC/USD,0.24155,0.24155,0.23867,0.23867,153.641833,36.669696282109996
1699902000000,2023-11-13 19:00:00,LRC/USD,0.23196,0.2629,0.2316,0.24155,13348.084004,3224.2296911661997
1699898400000,2023-11-13 18:00:00,LRC/USD,0.23196,0.23196,0.23196,0.23196,0.0,0.0
1699894800000,2023-11-13 17:00:00,LRC/USD,0.24284,0.24284,0.23196,0.23196,2296.491335,532.6941300666
1699891200000,2023-11-13 16:00:00,LRC/USD,0.23862,0.24432,0.23862,0.24284,262.381775,63.716790241
1699887600000,2023-11-13 15:00:00,LRC/USD,0.23462,0.25427,0.23198,0.23862,9016.813783,2151.59210489946
1699884000000,2023-11-13 14:00:00,LRC/USD,0.24315,0.24315,0.23462,0.23462,1657.57339,388.8998687618
1699880400000,2023-11-13 13:00:00,LRC/USD,0.24234,0.24315,0.23862,0.24315,469.850139,114.24406129785001
1699876800000,2023-11-13 12:00:00,LRC/USD,0.23862,0.24737,0.23862,0.24234,2383.819276,577.69476334584
1699873200000,2023-11-13 11:00:00,LRC/USD,0.23955,0.23955,0.23862,0.23862,321.283096,76.66457236752
1699869600000,2023-11-13 10:00:00,LRC/USD,0.23955,0.23955,0.23955,0.23955,0.0,0.0
