https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume UMA,Volume USD
1705053600000,2024-01-12 10:00:00,UMA/USD,2.0644,2.0709,2.0583,2.0709,272.848646,565.0422610013999
1705050000000,2024-01-12 09:00:00,UMA/USD,2.062,2.0722,2.062,2.0644,2493.18,5146.920792
1705046400000,2024-01-12 08:00:00,UMA/USD,2.0767,2.0767,2.062,2.062,13.668652,28.184760423999997
1705042800000,2024-01-12 07:00:00,UMA/USD,2.0767,2.0767,2.0767,2.0767,0.0,0.0
1705039200000,2024-01-12 06:00:00,UMA/USD,2.0725,2.0767,2.0725,2.0767,4.917629,10.2124401443
1705035600000,2024-01-12 05:00:00,UMA/USD,2.0523,2.0725,2.0523,2.0725,118.520058,245.63282020499997
1705032000000,2024-01-12 04:00:00,UMA/USD,2.0448,2.0523,2.0448,2.0523,267.933629,549.8801867967
1705028400000,2024-01-12 03:00:00,UMA/USD,2.0448,2.0448,2.0448,2.0448,0.244522,0.4999985856
1705024800000,2024-01-12 02:00:00,UMA/USD,2.0448,2.0448,2.0448,2.0448,0.0,0.0
1705021200000,2024-01-12 01:00:00,UMA/USD,2.0281,2.0448,2.0281,2.0448,449.13,918.381024
1705017600000,2024-01-12 00:00:00,UMA/USD,2.0281,2.0281,2.0281,2.0281,0.0,0.0
1705014000000,2024-01-11 23:00:00,UMA/USD,2.0281,2.0281,2.0281,2.0281,0.0,0.0
1705010400000,2024-01-11 22:00:00,UMA/USD,2.0316,2.0316,2.0281,2.0281,0.246111,0.49913771909999993
1705006800000,2024-01-11 21:00:00,UMA/USD,2.0524,2.0524,2.0316,2.0316,5.906675,12.00000093
1705003200000,2024-01-11 20:00:00,UMA/USD,2.0546,2.0724,2.0524,2.0524,9.365147,19.2210277028
1704999600000,2024-01-11 19:00:00,UMA/USD,2.0546,2.0546,2.0546,2.0546,0.0,0.0
1704996000000,2024-01-11 18:00:00,UMA/USD,2.0436,2.0546,2.0436,2.0546,313.685844,644.4989350824001
1704992400000,2024-01-11 17:00:00,UMA/USD,2.024,2.0436,2.024,2.0436,269.35,550.44366
1704988800000,2024-01-11 16:00:00,UMA/USD,2.0279,2.043,2.0008,2.024,1432.083766,2898.537542384
1704985200000,2024-01-11 15:00:00,UMA/USD,2.0545,2.0545,2.0279,2.0279,66.569192,134.9956644568
1704981600000,2024-01-11 14:00:00,UMA/USD,2.0709,2.0709,2.0545,2.0545,2.289578,4.703938001
1704978000000,2024-01-11 13:00:00,UMA/USD,2.106,2.106,2.0709,2.0709,9.58807,19.855934163
1704974400000,2024-01-11 12:00:00,UMA/USD,2.0831,2.106,2.0831,2.106,6.867057,14.462022042
1704970800000,2024-01-11 11:00:00,UMA/USD,2.0665,2.0838,2.0665,2.0831,195.949521,408.1824471951
1704967200000,2024-01-11 10:00:00,UMA/USD,2.0555,2.0665,2.0555,2.0665,1.989728,4.111772912
1704963600000,2024-01-11 09:00:00,UMA/USD,2.0348,2.0555,2.0348,2.0555,179.85,369.681675
1704960000000,2024-01-11 08:00:00,UMA/USD,2.0235,2.0348,2.0235,2.0348,6.496444,13.218964251200001
1704956400000,2024-01-11 07:00:00,UMA/USD,1.9836,2.0235,1.9836,2.0235,98.487873,199.29021101549998
1704952800000,2024-01-11 06:00:00,UMA/USD,2.0075,2.0075,1.9836,1.9836,284.741704,564.8136440544
1704949200000,2024-01-11 05:00:00,UMA/USD,2.0396,2.0396,2.0038,2.0075,277.574311,557.2304293325
1704945600000,2024-01-11 04:00:00,UMA/USD,2.0335,2.0414,2.028,2.0396,12316.17177,25120.063942092
1704942000000,2024-01-11 03:00:00,UMA/USD,2.0201,2.0335,2.0201,2.0335,5.022097,10.2124342495
1704938400000,2024-01-11 02:00:00,UMA/USD,2.0201,2.0201,2.0201,2.0201,0.0,0.0
1704934800000,2024-01-11 01:00:00,UMA/USD,1.997,2.0201,1.997,2.0201,1.485075,3.0000000074999997
1704931200000,2024-01-11 00:00:00,UMA/USD,2.0427,2.0427,1.9912,1.997,800.262097,1598.1234077090003
1704927600000,2024-01-10 23:00:00,UMA/USD,2.0225,2.0427,2.0225,2.0427,278.159185,568.1957671995
1704924000000,2024-01-10 22:00:00,UMA/USD,1.9827,2.0225,1.9827,2.0225,6.151147,12.4406948075
1704920400000,2024-01-10 21:00:00,UMA/USD,1.885,1.9827,1.885,1.9827,184.39456,365.599094112
1704916800000,2024-01-10 20:00:00,UMA/USD,1.8719,1.885,1.8719,1.885,66.747108,125.81829857999999
1704913200000,2024-01-10 19:00:00,UMA/USD,1.8719,1.8719,1.8719,1.8719,0.0,0.0
1704909600000,2024-01-10 18:00:00,UMA/USD,1.8719,1.8719,1.8719,1.8719,0.0,0.0
1704906000000,2024-01-10 17:00:00,UMA/USD,1.8719,1.8719,1.8719,1.8719,0.0,0.0
1704902400000,2024-01-10 16:00:00,UMA/USD,1.8719,1.8719,1.8719,1.8719,0.0,0.0
1704898800000,2024-01-10 15:00:00,UMA/USD,1.8695,1.8719,1.8695,1.8719,0.81253,1.5209749069999998
1704895200000,2024-01-10 14:00:00,UMA/USD,1.8695,1.8695,1.8695,1.8695,0.0,0.0
1704891600000,2024-01-10 13:00:00,UMA/USD,1.8695,1.8695,1.8695,1.8695,0.0,0.0
