https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume MATIC,Volume USD
1695142800000,2023-09-19 17:00:00,MATIC/USD,0.54295,0.54295,0.53947,0.53997,18271.552434,9866.090167786979
1695139200000,2023-09-19 16:00:00,MATIC/USD,0.5442,0.5456,0.54169,0.54295,4792.548151,2602.11401858545
1695135600000,2023-09-19 15:00:00,MATIC/USD,0.53922,0.54465,0.53859,0.5442,2844.634558,1548.0501264636002
1695132000000,2023-09-19 14:00:00,MATIC/USD,0.53561,0.53922,0.53344,0.53922,2521.646323,1359.72213028806
1695128400000,2023-09-19 13:00:00,MATIC/USD,0.53538,0.53854,0.5351,0.53561,446.326465,239.05691791865002
1695124800000,2023-09-19 12:00:00,MATIC/USD,0.53622,0.53887,0.53538,0.53538,2410.697725,1290.6393480104998
1695121200000,2023-09-19 11:00:00,MATIC/USD,0.53529,0.53622,0.53529,0.53622,454.097703,243.49627030266004
1695117600000,2023-09-19 10:00:00,MATIC/USD,0.54241,0.54241,0.53529,0.53529,1842.140598,986.07944070342
1695114000000,2023-09-19 09:00:00,MATIC/USD,0.53623,0.54515,0.53173,0.54241,6923.228803,3755.2285350352295
1695110400000,2023-09-19 08:00:00,MATIC/USD,0.5284,0.53623,0.5284,0.53623,2507.67536,1344.6907582928
1695106800000,2023-09-19 07:00:00,MATIC/USD,0.5284,0.5284,0.5284,0.5284,0.0,0.0
1695103200000,2023-09-19 06:00:00,MATIC/USD,0.52913,0.52913,0.52772,0.5284,285.546967,150.8830173628
1695099600000,2023-09-19 05:00:00,MATIC/USD,0.52973,0.53013,0.52913,0.52913,3081.951361,1630.75292364593
1695096000000,2023-09-19 04:00:00,MATIC/USD,0.52795,0.52973,0.52795,0.52973,2383.998664,1262.8756122807201
1695092400000,2023-09-19 03:00:00,MATIC/USD,0.52737,0.52931,0.52639,0.52795,12967.132998,6845.9978662941
1695088800000,2023-09-19 02:00:00,MATIC/USD,0.52682,0.52854,0.52682,0.52737,9764.710397,5149.615322065891
1695085200000,2023-09-19 01:00:00,MATIC/USD,0.5257,0.52682,0.5248,0.52682,646.404159,340.53863904438
1695081600000,2023-09-19 00:00:00,MATIC/USD,0.52535,0.52736,0.52535,0.5257,5369.576796,2822.7865216572
1695078000000,2023-09-18 23:00:00,MATIC/USD,0.52735,0.52735,0.52535,0.52535,864.508819,454.16970806165
1695074400000,2023-09-18 22:00:00,MATIC/USD,0.5263,0.5289,0.5263,0.52735,5772.390722,3044.0702472467
1695070800000,2023-09-18 21:00:00,MATIC/USD,0.52651,0.52717,0.52507,0.5263,6907.909712,3635.6328814256
1695067200000,2023-09-18 20:00:00,MATIC/USD,0.52701,0.52735,0.52557,0.52651,948.939158,499.62595607858003
1695063600000,2023-09-18 19:00:00,MATIC/USD,0.52294,0.52713,0.52294,0.52701,1681.660917,886.2521198681699
1695060000000,2023-09-18 18:00:00,MATIC/USD,0.52446,0.52735,0.52294,0.52294,3365.804735,1760.1139281209
1695056400000,2023-09-18 17:00:00,MATIC/USD,0.53053,0.53142,0.52348,0.52446,8988.762004,4714.2461206178405
1695052800000,2023-09-18 16:00:00,MATIC/USD,0.53093,0.53176,0.52899,0.53053,8523.710383,4522.084069492989
1695049200000,2023-09-18 15:00:00,MATIC/USD,0.5336,0.53452,0.53064,0.53093,28484.01641,15123.0188325613
1695045600000,2023-09-18 14:00:00,MATIC/USD,0.53166,0.53392,0.5306,0.5336,20395.739071,10883.1663682856
