https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume STORJ,Volume USD
1715630400000,2024-05-13 20:00:00,STORJ/USD,0.51211,0.51251,0.50991,0.5102,8335.22873,4252.633698046
1715626800000,2024-05-13 19:00:00,STORJ/USD,0.5081,0.51211,0.5081,0.51211,2013.865197,1031.32050603567
1715623200000,2024-05-13 18:00:00,STORJ/USD,0.51257,0.51257,0.50784,0.5081,7300.8,3709.53648
1715619600000,2024-05-13 17:00:00,STORJ/USD,0.52153,0.52153,0.51257,0.51257,13.100833,6.715093970809999
1715616000000,2024-05-13 16:00:00,STORJ/USD,0.51929,0.52196,0.51929,0.52153,284.752507,148.50697497571
1715612400000,2024-05-13 15:00:00,STORJ/USD,0.51592,0.51929,0.51592,0.51929,7.240236,3.7597821524400006
1715608800000,2024-05-13 14:00:00,STORJ/USD,0.51769,0.51769,0.51592,0.51592,1.382319,0.71316601848
1715605200000,2024-05-13 13:00:00,STORJ/USD,0.51221,0.51769,0.51221,0.51769,73.830479,38.221300673509994
1715601600000,2024-05-13 12:00:00,STORJ/USD,0.51221,0.51221,0.51221,0.51221,0.0,0.0
1715598000000,2024-05-13 11:00:00,STORJ/USD,0.51221,0.51221,0.51221,0.51221,0.0,0.0
1715594400000,2024-05-13 10:00:00,STORJ/USD,0.51221,0.51221,0.51221,0.51221,0.0,0.0
1715590800000,2024-05-13 09:00:00,STORJ/USD,0.5098,0.51221,0.5098,0.51221,31.060227,15.909358871670003
1715587200000,2024-05-13 08:00:00,STORJ/USD,0.49976,0.5098,0.49976,0.5098,1056.485212,538.5961610776001
1715583600000,2024-05-13 07:00:00,STORJ/USD,0.48704,0.49976,0.48704,0.49976,66.967924,33.46788969824
1715580000000,2024-05-13 06:00:00,STORJ/USD,0.48704,0.48704,0.48704,0.48704,0.0,0.0
1715576400000,2024-05-13 05:00:00,STORJ/USD,0.48704,0.48704,0.48704,0.48704,0.0,0.0
1715572800000,2024-05-13 04:00:00,STORJ/USD,0.48488,0.48704,0.48488,0.48704,141.888151,69.10520506303999
1715569200000,2024-05-13 03:00:00,STORJ/USD,0.49629,0.49629,0.48488,0.48488,302.638288,146.74325308544
1715565600000,2024-05-13 02:00:00,STORJ/USD,0.49629,0.49629,0.49629,0.49629,0.0,0.0
1715562000000,2024-05-13 01:00:00,STORJ/USD,0.502,0.502,0.49629,0.49629,283.039003,140.46942679887
1715558400000,2024-05-13 00:00:00,STORJ/USD,0.502,0.502,0.502,0.502,0.0,0.0
1715554800000,2024-05-12 23:00:00,STORJ/USD,0.50376,0.50376,0.502,0.502,1002.664929,503.337794358
1715551200000,2024-05-12 22:00:00,STORJ/USD,0.50303,0.50376,0.50303,0.50376,59.314908,29.88047805408
1715547600000,2024-05-12 21:00:00,STORJ/USD,0.50716,0.50716,0.50303,0.50303,39.759709,20.00032641827
1715544000000,2024-05-12 20:00:00,STORJ/USD,0.50716,0.50716,0.50716,0.50716,0.0,0.0
1715540400000,2024-05-12 19:00:00,STORJ/USD,0.50716,0.50716,0.50716,0.50716,0.0,0.0
1715536800000,2024-05-12 18:00:00,STORJ/USD,0.51256,0.51256,0.50716,0.50716,0.011721,0.005944422360000001
1715533200000,2024-05-12 17:00:00,STORJ/USD,0.51256,0.51256,0.51256,0.51256,0.0,0.0
1715529600000,2024-05-12 16:00:00,STORJ/USD,0.51256,0.51256,0.51256,0.51256,0.0,0.0
1715526000000,2024-05-12 15:00:00,STORJ/USD,0.51256,0.51256,0.51256,0.51256,0.0,0.0
1715522400000,2024-05-12 14:00:00,STORJ/USD,0.51095,0.51256,0.51095,0.51256,1.394844,0.71494124064
1715518800000,2024-05-12 13:00:00,STORJ/USD,0.5094,0.51095,0.50935,0.51095,6163.16582,3149.069575729
1715515200000,2024-05-12 12:00:00,STORJ/USD,0.50939,0.5094,0.50939,0.5094,582.62418,296.788757292
1715511600000,2024-05-12 11:00:00,STORJ/USD,0.50939,0.50939,0.50939,0.50939,0.0,0.0
1715508000000,2024-05-12 10:00:00,STORJ/USD,0.50939,0.50939,0.50939,0.50939,0.0,0.0
1715504400000,2024-05-12 09:00:00,STORJ/USD,0.50716,0.50939,0.50716,0.50939,36.649826,18.669054866139998
1715500800000,2024-05-12 08:00:00,STORJ/USD,0.50806,0.50806,0.50716,0.50716,236.6,119.99405600000001
1715497200000,2024-05-12 07:00:00,STORJ/USD,0.51196,0.51196,0.50806,0.50806,31.28666,15.895500479599999
1715493600000,2024-05-12 06:00:00,STORJ/USD,0.51196,0.51196,0.51196,0.51196,0.0,0.0
1715490000000,2024-05-12 05:00:00,STORJ/USD,0.51196,0.51196,0.51196,0.51196,0.0,0.0
1715486400000,2024-05-12 04:00:00,STORJ/USD,0.5123,0.5123,0.51196,0.51196,67.948242,34.78678197431999
1715482800000,2024-05-12 03:00:00,STORJ/USD,0.5123,0.5123,0.5123,0.5123,0.0,0.0
1715479200000,2024-05-12 02:00:00,STORJ/USD,0.5123,0.5123,0.5123,0.5123,0.0,0.0
1715475600000,2024-05-12 01:00:00,STORJ/USD,0.51314,0.51314,0.5123,0.5123,388.840874,199.20317975019998
1715472000000,2024-05-12 00:00:00,STORJ/USD,0.51314,0.51314,0.51314,0.51314,0.0,0.0
1715468400000,2024-05-11 23:00:00,STORJ/USD,0.51314,0.51314,0.51314,0.51314,0.0,0.0
1715464800000,2024-05-11 22:00:00,STORJ/USD,0.51314,0.51314,0.51314,0.51314,0.0,0.0
1715461200000,2024-05-11 21:00:00,STORJ/USD,0.51968,0.51968,0.51314,0.51314,974.392953,499.99999990242003
1715457600000,2024-05-11 20:00:00,STORJ/USD,0.51968,0.51968,0.51968,0.51968,0.0,0.0
1715454000000,2024-05-11 19:00:00,STORJ/USD,0.52021,0.52021,0.51968,0.51968,0.578458,0.30061305344000006
1715450400000,2024-05-11 18:00:00,STORJ/USD,0.5208,0.5208,0.52021,0.52021,82.520266,42.92786757586
1715446800000,2024-05-11 17:00:00,STORJ/USD,0.52226,0.52226,0.51958,0.5208,1824.841716,950.3775656928
1715443200000,2024-05-11 16:00:00,STORJ/USD,0.52064,0.52226,0.52064,0.52226,305.6,159.602656
1715439600000,2024-05-11 15:00:00,STORJ/USD,0.52064,0.52064,0.52064,0.52064,0.0,0.0
1715436000000,2024-05-11 14:00:00,STORJ/USD,0.5184,0.52064,0.5184,0.52064,1.369649,0.7130940553599999
1715432400000,2024-05-11 13:00:00,STORJ/USD,0.5184,0.5184,0.5184,0.5184,0.0,0.0
1715428800000,2024-05-11 12:00:00,STORJ/USD,0.5184,0.5184,0.5184,0.5184,0.0,0.0
1715425200000,2024-05-11 11:00:00,STORJ/USD,0.5184,0.5184,0.5184,0.5184,0.0,0.0
1715421600000,2024-05-11 10:00:00,STORJ/USD,0.5184,0.5184,0.5184,0.5184,0.0,0.0
1715418000000,2024-05-11 09:00:00,STORJ/USD,0.51619,0.5184,0.51619,0.5184,100.0,51.839999999999996
1715414400000,2024-05-11 08:00:00,STORJ/USD,0.5233,0.5233,0.51619,0.51619,7750.0,4000.4725000000003
1715410800000,2024-05-11 07:00:00,STORJ/USD,0.5233,0.5233,0.5233,0.5233,0.0,0.0
1715407200000,2024-05-11 06:00:00,STORJ/USD,0.5233,0.5233,0.5233,0.5233,0.0,0.0
1715403600000,2024-05-11 05:00:00,STORJ/USD,0.5233,0.5233,0.5233,0.5233,0.0,0.0
1715400000000,2024-05-11 04:00:00,STORJ/USD,0.5233,0.5233,0.5233,0.5233,0.0,0.0
1715396400000,2024-05-11 03:00:00,STORJ/USD,0.5233,0.5233,0.5233,0.5233,0.0,0.0
1715392800000,2024-05-11 02:00:00,STORJ/USD,0.5233,0.5233,0.5233,0.5233,0.0,0.0
1715389200000,2024-05-11 01:00:00,STORJ/USD,0.51857,0.52395,0.51857,0.5233,7813.608231,4088.8611872823
1715385600000,2024-05-11 00:00:00,STORJ/USD,0.51314,0.51857,0.51314,0.51857,156.581372,81.19840207803999
1715382000000,2024-05-10 23:00:00,STORJ/USD,0.51314,0.51314,0.51314,0.51314,0.0,0.0
1715378400000,2024-05-10 22:00:00,STORJ/USD,0.51314,0.51314,0.51314,0.51314,0.0,0.0
1715374800000,2024-05-10 21:00:00,STORJ/USD,0.51314,0.51314,0.51314,0.51314,0.0,0.0
1715371200000,2024-05-10 20:00:00,STORJ/USD,0.51648,0.51648,0.51314,0.51314,2.938731,1.5079804253400002
