https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume CUBE,Volume USD
1761717600000,2025-10-29 06:00:00,CUBE/USD,0.275,0.275,0.275,0.275,0.0,0.0
1761714000000,2025-10-29 05:00:00,CUBE/USD,0.275,0.275,0.275,0.275,457.432357,125.79389817500002
1761710400000,2025-10-29 04:00:00,CUBE/USD,0.275,0.275,0.275,0.275,0.0,0.0
1761706800000,2025-10-29 03:00:00,CUBE/USD,0.275,0.275,0.275,0.275,177.303815,48.758549125
1761703200000,2025-10-29 02:00:00,CUBE/USD,0.2632,0.275,0.2632,0.275,910.713712,250.4462708
1761699600000,2025-10-29 01:00:00,CUBE/USD,0.2632,0.2632,0.2632,0.2632,0.0,0.0
1761696000000,2025-10-29 00:00:00,CUBE/USD,0.2632,0.2632,0.2632,0.2632,0.0,0.0
1761692400000,2025-10-28 23:00:00,CUBE/USD,0.2632,0.2632,0.2632,0.2632,0.0,0.0
1761688800000,2025-10-28 22:00:00,CUBE/USD,0.2632,0.2632,0.2632,0.2632,0.0,0.0
1761685200000,2025-10-28 21:00:00,CUBE/USD,0.2632,0.2632,0.2632,0.2632,0.0,0.0
1761681600000,2025-10-28 20:00:00,CUBE/USD,0.2632,0.2632,0.2632,0.2632,0.0,0.0
1761678000000,2025-10-28 19:00:00,CUBE/USD,0.2632,0.2632,0.2632,0.2632,0.0,0.0
1761674400000,2025-10-28 18:00:00,CUBE/USD,0.2632,0.2632,0.2632,0.2632,0.0,0.0
1761670800000,2025-10-28 17:00:00,CUBE/USD,0.2632,0.2632,0.2632,0.2632,0.0,0.0
1761667200000,2025-10-28 16:00:00,CUBE/USD,0.2632,0.2632,0.2632,0.2632,0.0,0.0
1761663600000,2025-10-28 15:00:00,CUBE/USD,0.2632,0.2632,0.2632,0.2632,0.0,0.0
1761660000000,2025-10-28 14:00:00,CUBE/USD,0.275,0.275,0.255,0.2632,179.491307,47.2421120024
1761656400000,2025-10-28 13:00:00,CUBE/USD,0.275,0.275,0.275,0.275,0.0,0.0
1761652800000,2025-10-28 12:00:00,CUBE/USD,0.275,0.275,0.275,0.275,0.0,0.0
1761649200000,2025-10-28 11:00:00,CUBE/USD,0.275,0.275,0.275,0.275,0.0,0.0
1761645600000,2025-10-28 10:00:00,CUBE/USD,0.275,0.275,0.275,0.275,634.556119,174.502932725
1761642000000,2025-10-28 09:00:00,CUBE/USD,0.275,0.275,0.275,0.275,0.0,0.0
1761638400000,2025-10-28 08:00:00,CUBE/USD,0.275,0.275,0.275,0.275,0.0,0.0
1761634800000,2025-10-28 07:00:00,CUBE/USD,0.2556,0.275,0.2556,0.275,9.7,2.6675
1761631200000,2025-10-28 06:00:00,CUBE/USD,0.2556,0.2556,0.2556,0.2556,0.0,0.0
1761627600000,2025-10-28 05:00:00,CUBE/USD,0.2556,0.2556,0.2556,0.2556,0.0,0.0
1761624000000,2025-10-28 04:00:00,CUBE/USD,0.2556,0.2556,0.2556,0.2556,0.0,0.0
1761620400000,2025-10-28 03:00:00,CUBE/USD,0.2556,0.2556,0.2556,0.2556,0.0,0.0
1761616800000,2025-10-28 02:00:00,CUBE/USD,0.2556,0.2556,0.2556,0.2556,0.0,0.0
1761613200000,2025-10-28 01:00:00,CUBE/USD,0.285,0.285,0.2556,0.2556,257.934819,65.9281397364
1761609600000,2025-10-28 00:00:00,CUBE/USD,0.285,0.285,0.285,0.285,183.401875,52.26953437499999
1761606000000,2025-10-27 23:00:00,CUBE/USD,0.285,0.285,0.285,0.285,171.083709,48.758857064999994
1761602400000,2025-10-27 22:00:00,CUBE/USD,0.285,0.285,0.285,0.285,0.0,0.0
1761598800000,2025-10-27 21:00:00,CUBE/USD,0.285,0.285,0.285,0.285,0.0,0.0
1761595200000,2025-10-27 20:00:00,CUBE/USD,0.285,0.285,0.285,0.285,0.0,0.0
1761591600000,2025-10-27 19:00:00,CUBE/USD,0.285,0.285,0.285,0.285,0.0,0.0
1761588000000,2025-10-27 18:00:00,CUBE/USD,0.2774,0.285,0.2774,0.285,17.10837,4.87588545
