https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume INJ,Volume USD
1764129600000,2025-11-26 04:00:00,INJ/USD,5.9236,5.9236,5.9236,5.9236,0.0,0.0
1764126000000,2025-11-26 03:00:00,INJ/USD,5.9236,5.9236,5.9236,5.9236,0.0,0.0
1764122400000,2025-11-26 02:00:00,INJ/USD,5.9421,5.9421,5.9236,5.9236,2.713877,16.075921797200003
1764118800000,2025-11-26 01:00:00,INJ/USD,6.0205,6.0205,5.9421,5.9421,17.2907,102.74306847000001
1764115200000,2025-11-26 00:00:00,INJ/USD,6.0205,6.0205,6.0205,6.0205,0.0,0.0
1764111600000,2025-11-25 23:00:00,INJ/USD,5.9553,6.0205,5.9553,6.0205,16.260162,97.894305321
1764108000000,2025-11-25 22:00:00,INJ/USD,5.954,5.9761,5.8905,5.9553,31.762142,189.15308425260002
1764104400000,2025-11-25 21:00:00,INJ/USD,5.9415,5.954,5.9415,5.954,2.750081,16.373982274
1764100800000,2025-11-25 20:00:00,INJ/USD,5.758,5.9415,5.758,5.9415,519.012255,3083.7113130824996
1764097200000,2025-11-25 19:00:00,INJ/USD,5.9184,5.9184,5.758,5.758,5.081502,29.259288516
1764093600000,2025-11-25 18:00:00,INJ/USD,5.7958,5.9184,5.7958,5.9184,316.479031,1873.0494970704
1764090000000,2025-11-25 17:00:00,INJ/USD,5.7708,5.7958,5.7708,5.7958,200.0,1159.1599999999999
1764086400000,2025-11-25 16:00:00,INJ/USD,5.6,5.7708,5.6,5.7708,14.671286,84.66505724880001
1764082800000,2025-11-25 15:00:00,INJ/USD,5.6,5.6,5.6,5.6,0.0,0.0
1764079200000,2025-11-25 14:00:00,INJ/USD,5.6661,5.6661,5.6,5.6,8.291063,46.429952799999995
1764075600000,2025-11-25 13:00:00,INJ/USD,5.6661,5.6661,5.6661,5.6661,0.0,0.0
1764072000000,2025-11-25 12:00:00,INJ/USD,5.6661,5.6661,5.6661,5.6661,0.0,0.0
1764068400000,2025-11-25 11:00:00,INJ/USD,5.6661,5.6661,5.6661,5.6661,0.0,0.0
