https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume BTCG,Volume USD
1691265600000,2023-08-05 20:00:00,BTCG/USD,29035.21,29040.14,29035.21,29040.14,0.00168765,49.009592270999995
1691262000000,2023-08-05 19:00:00,BTCG/USD,29035.21,29035.21,29035.21,29035.21,0.0,0.0
1691258400000,2023-08-05 18:00:00,BTCG/USD,29035.21,29035.21,29035.21,29035.21,0.0,0.0
1691254800000,2023-08-05 17:00:00,BTCG/USD,29032.36,29035.21,29031.57,29035.21,0.00509774,148.0139514254
1691251200000,2023-08-05 16:00:00,BTCG/USD,29032.36,29032.36,29032.36,29032.36,0.0,0.0
1691247600000,2023-08-05 15:00:00,BTCG/USD,29032.36,29032.36,29032.36,29032.36,0.0,0.0
1691244000000,2023-08-05 14:00:00,BTCG/USD,29001.67,29032.36,29001.67,29032.36,0.00074564,21.6476889104
1691240400000,2023-08-05 13:00:00,BTCG/USD,29001.67,29001.67,29001.67,29001.67,0.0,0.0
1691236800000,2023-08-05 12:00:00,BTCG/USD,29022.94,29022.94,29001.67,29001.67,0.00482634,139.9719199878
1691233200000,2023-08-05 11:00:00,BTCG/USD,29025.01,29027.28,29022.94,29022.94,0.04058549,1177.9102411406
1691229600000,2023-08-05 10:00:00,BTCG/USD,29033.01,29033.01,29025.01,29025.01,0.0298,864.945298
1691226000000,2023-08-05 09:00:00,BTCG/USD,29033.01,29033.01,29033.01,29033.01,0.0,0.0
1691222400000,2023-08-05 08:00:00,BTCG/USD,29033.01,29033.01,29033.01,29033.01,0.0,0.0
1691218800000,2023-08-05 07:00:00,BTCG/USD,29033.01,29033.01,29033.01,29033.01,0.0,0.0
1691215200000,2023-08-05 06:00:00,BTCG/USD,29033.01,29033.01,29033.01,29033.01,0.0,0.0
1691211600000,2023-08-05 05:00:00,BTCG/USD,29033.01,29033.01,29033.01,29033.01,0.0,0.0
1691208000000,2023-08-05 04:00:00,BTCG/USD,29062.59,29062.59,29033.01,29033.01,0.02401442,697.2108960042
1691204400000,2023-08-05 03:00:00,BTCG/USD,29062.59,29062.59,29062.59,29062.59,0.0,0.0
1691200800000,2023-08-05 02:00:00,BTCG/USD,29062.59,29062.59,29062.59,29062.59,0.0,0.0
1691197200000,2023-08-05 01:00:00,BTCG/USD,29366.89,29366.89,29062.59,29062.59,0.00025456,7.3981729104
1691193600000,2023-08-05 00:00:00,BTCG/USD,29366.89,29366.89,29366.89,29366.89,0.0,0.0
1691190000000,2023-08-04 23:00:00,BTCG/USD,28856.21,30114.53,27960.0,29366.89,0.17637187,5179.4933053843
1691186400000,2023-08-04 22:00:00,BTCG/USD,28856.21,28856.21,28856.21,28856.21,0.0,0.0
1691182800000,2023-08-04 21:00:00,BTCG/USD,28856.21,28856.21,28856.21,28856.21,0.0,0.0
1691179200000,2023-08-04 20:00:00,BTCG/USD,29013.35,29013.35,28856.21,28856.21,0.00069309,19.9999505889
1691175600000,2023-08-04 19:00:00,BTCG/USD,29062.59,29062.59,29013.35,29013.35,0.00101347,29.4041598245
1691172000000,2023-08-04 18:00:00,BTCG/USD,29256.03,29256.03,29062.59,29062.59,0.00141988,41.265390289200006
1691168400000,2023-08-04 17:00:00,BTCG/USD,29138.23,29256.03,29138.23,29256.03,0.00502545,147.0247159635
1691164800000,2023-08-04 16:00:00,BTCG/USD,29138.23,29138.23,29138.23,29138.23,0.0,0.0
1691161200000,2023-08-04 15:00:00,BTCG/USD,29138.23,29138.23,29138.23,29138.23,0.0,0.0
1691157600000,2023-08-04 14:00:00,BTCG/USD,29138.23,29138.23,29138.23,29138.23,0.0,0.0
1691154000000,2023-08-04 13:00:00,BTCG/USD,29138.23,29138.23,29138.23,29138.23,0.0,0.0
1691150400000,2023-08-04 12:00:00,BTCG/USD,29216.45,29216.45,29138.23,29138.23,0.00480372,139.9718982156
1691146800000,2023-08-04 11:00:00,BTCG/USD,29216.45,29216.45,29216.45,29216.45,0.0,0.0
1691143200000,2023-08-04 10:00:00,BTCG/USD,29216.45,29216.45,29216.45,29216.45,0.0,0.0
1691139600000,2023-08-04 09:00:00,BTCG/USD,29216.45,29216.45,29216.45,29216.45,0.0,0.0
1691136000000,2023-08-04 08:00:00,BTCG/USD,29216.45,29216.45,29216.45,29216.45,0.0,0.0
1691132400000,2023-08-04 07:00:00,BTCG/USD,29216.45,29216.45,29216.45,29216.45,0.0,0.0
1691128800000,2023-08-04 06:00:00,BTCG/USD,29189.09,29217.53,29189.09,29216.45,0.13448193,3929.0845837485
1691125200000,2023-08-04 05:00:00,BTCG/USD,29136.99,29189.09,29136.99,29189.09,0.0373169,1089.246352621
1691121600000,2023-08-04 04:00:00,BTCG/USD,29151.26,29151.26,29129.12,29136.99,0.00305515,89.0178749985
1691118000000,2023-08-04 03:00:00,BTCG/USD,29150.0,29154.81,29150.0,29151.26,0.13649954,3979.1335804204
1691114400000,2023-08-04 02:00:00,BTCG/USD,29178.2,29178.2,29150.0,29150.0,0.00539245,157.1899175
1691110800000,2023-08-04 01:00:00,BTCG/USD,29178.2,29178.2,29178.2,29178.2,0.0,0.0
1691107200000,2023-08-04 00:00:00,BTCG/USD,29178.2,29178.2,29178.2,29178.2,0.0,0.0
1691103600000,2023-08-03 23:00:00,BTCG/USD,29178.2,29178.2,29178.2,29178.2,0.0,0.0
1691100000000,2023-08-03 22:00:00,BTCG/USD,29178.2,29178.2,29178.2,29178.2,0.0,0.0
1691096400000,2023-08-03 21:00:00,BTCG/USD,29178.2,29178.2,29178.2,29178.2,0.0,0.0
1691092800000,2023-08-03 20:00:00,BTCG/USD,29178.2,29178.2,29178.2,29178.2,0.0,0.0
1691089200000,2023-08-03 19:00:00,BTCG/USD,29178.2,29178.2,29178.2,29178.2,0.0,0.0
1691085600000,2023-08-03 18:00:00,BTCG/USD,29250.04,29250.04,29161.31,29178.2,0.00152576,44.518930432
