https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume SOL,Volume USD
1764381600000,2025-11-29 02:00:00,SOL/USD,137.473,137.743,136.936,137.26,1025.257048,140726.78240847998
1764378000000,2025-11-29 01:00:00,SOL/USD,137.691,137.835,137.312,137.473,232.260535,31929.552528055003
1764374400000,2025-11-29 00:00:00,SOL/USD,137.319,137.878,137.194,137.691,1480.227107,203813.95058993698
1764370800000,2025-11-28 23:00:00,SOL/USD,137.815,138.29,137.317,137.319,246.315677,33823.822449962994
1764367200000,2025-11-28 22:00:00,SOL/USD,137.438,137.815,136.72,137.815,385.299352,53100.03019588
1764363600000,2025-11-28 21:00:00,SOL/USD,137.984,138.085,137.338,137.438,307.665823,42284.975381473996
1764360000000,2025-11-28 20:00:00,SOL/USD,137.602,137.984,137.0,137.984,2016.851207,278293.196946688
1764356400000,2025-11-28 19:00:00,SOL/USD,137.131,138.024,137.131,137.602,1044.357207,143705.640397614
1764352800000,2025-11-28 18:00:00,SOL/USD,137.236,137.615,136.021,137.131,3247.61741,445349.02305071
1764349200000,2025-11-28 17:00:00,SOL/USD,138.805,138.805,136.799,137.236,2041.69448,280193.98365728
1764345600000,2025-11-28 16:00:00,SOL/USD,141.48,141.591,138.805,138.805,2245.66239,311709.16804395
1764342000000,2025-11-28 15:00:00,SOL/USD,142.562,143.617,141.348,141.48,2474.352796,350071.43357808
1764338400000,2025-11-28 14:00:00,SOL/USD,142.402,143.456,141.686,142.562,2436.530878,347356.71502943605
1764334800000,2025-11-28 13:00:00,SOL/USD,140.804,143.382,140.472,142.402,1141.63162,162570.62595124
1764331200000,2025-11-28 12:00:00,SOL/USD,140.985,141.519,140.804,140.804,214.588076,30214.859453104
1764327600000,2025-11-28 11:00:00,SOL/USD,142.092,142.092,139.992,140.985,507.343215,71527.783166775
1764324000000,2025-11-28 10:00:00,SOL/USD,141.708,142.263,141.561,142.092,410.903636,58386.119446512006
1764320400000,2025-11-28 09:00:00,SOL/USD,141.278,142.533,141.032,141.708,3055.85375,433038.923205
1764316800000,2025-11-28 08:00:00,SOL/USD,139.031,141.534,139.031,141.278,1007.640814,142357.478920292
1764313200000,2025-11-28 07:00:00,SOL/USD,139.643,140.024,138.982,139.031,359.727405,50013.260844555
1764309600000,2025-11-28 06:00:00,SOL/USD,140.34,140.34,139.222,139.643,410.370576,57305.37834436801
1764306000000,2025-11-28 05:00:00,SOL/USD,140.022,140.529,139.882,140.34,2390.874161,335535.27975474
1764302400000,2025-11-28 04:00:00,SOL/USD,139.753,140.242,139.586,140.022,646.132382,90472.748392404
1764298800000,2025-11-28 03:00:00,SOL/USD,139.508,139.753,139.216,139.753,898.097191,125511.77673382298
1764295200000,2025-11-28 02:00:00,SOL/USD,139.018,139.61,138.627,139.508,2492.162499,347676.605910492
1764291600000,2025-11-28 01:00:00,SOL/USD,140.946,140.946,138.787,139.018,1910.048994,265531.191047892
1764288000000,2025-11-28 00:00:00,SOL/USD,140.912,141.466,140.605,140.946,4174.90995,588436.8578127
1764284400000,2025-11-27 23:00:00,SOL/USD,140.882,141.419,140.5,140.912,2150.402956,303017.581335872
1764280800000,2025-11-27 22:00:00,SOL/USD,142.0,142.002,140.6,140.882,601.491075,84739.26562815001
1764277200000,2025-11-27 21:00:00,SOL/USD,142.472,142.53,141.793,142.0,725.105449,102964.97375800001
1764273600000,2025-11-27 20:00:00,SOL/USD,142.719,142.883,142.418,142.472,182.665085,26024.659990120002
1764270000000,2025-11-27 19:00:00,SOL/USD,142.877,142.877,142.306,142.719,64.261416,9171.325030103999
1764266400000,2025-11-27 18:00:00,SOL/USD,141.644,143.092,141.568,142.877,890.707651,127261.63705192701
1764262800000,2025-11-27 17:00:00,SOL/USD,142.237,142.258,141.407,141.644,2395.119716,339254.337053104
1764259200000,2025-11-27 16:00:00,SOL/USD,142.148,142.4,141.589,142.237,500.266835,71156.453809895
1764255600000,2025-11-27 15:00:00,SOL/USD,141.32,142.46,141.127,142.148,857.947934,121955.582922232
1764252000000,2025-11-27 14:00:00,SOL/USD,141.246,141.703,140.864,141.32,1179.988978,166756.04237096
1764248400000,2025-11-27 13:00:00,SOL/USD,141.076,141.4,140.674,141.246,636.472558,89899.20292726801
1764244800000,2025-11-27 12:00:00,SOL/USD,142.085,142.115,141.026,141.076,581.967287,82101.616980812
1764241200000,2025-11-27 11:00:00,SOL/USD,142.329,142.329,141.748,142.085,1223.211584,173800.01791264
1764237600000,2025-11-27 10:00:00,SOL/USD,141.8,142.329,141.512,142.329,1890.316769,269046.895415001
1764234000000,2025-11-27 09:00:00,SOL/USD,142.584,143.0,141.67,141.8,282.450334,40051.4573612
1764230400000,2025-11-27 08:00:00,SOL/USD,143.771,143.771,142.224,142.584,809.973411,115489.24883402401
1764226800000,2025-11-27 07:00:00,SOL/USD,143.827,144.247,143.635,143.771,232.698143,33455.244717252994
1764223200000,2025-11-27 06:00:00,SOL/USD,142.762,144.016,142.762,143.827,769.708854,110704.915344258
1764219600000,2025-11-27 05:00:00,SOL/USD,142.916,143.487,142.56,142.762,1593.874629,227544.729785298
1764216000000,2025-11-27 04:00:00,SOL/USD,142.577,143.025,142.342,142.916,739.917103,105745.992692348
1764212400000,2025-11-27 03:00:00,SOL/USD,142.99,143.658,142.411,142.577,2973.037414,423886.75537587795
1764208800000,2025-11-27 02:00:00,SOL/USD,143.316,144.187,142.901,142.99,1398.090992,199913.03094608
1764205200000,2025-11-27 01:00:00,SOL/USD,142.814,143.635,142.073,143.316,563.588453,80771.24273014799
1764201600000,2025-11-27 00:00:00,SOL/USD,143.082,143.648,142.291,142.814,1261.529342,180164.051448388
1764198000000,2025-11-26 23:00:00,SOL/USD,143.1,143.445,142.483,143.082,1114.917731,159524.658786942
1764194400000,2025-11-26 22:00:00,SOL/USD,143.6,144.046,142.797,143.1,2232.246258,319434.4395198
1764190800000,2025-11-26 21:00:00,SOL/USD,142.953,144.211,142.851,143.6,1362.815733,195700.33925879997
1764187200000,2025-11-26 20:00:00,SOL/USD,144.035,144.035,142.527,142.953,5805.271375,829880.9588703751
1764183600000,2025-11-26 19:00:00,SOL/USD,144.6,144.724,143.586,144.035,4471.319928,644026.56582948
1764180000000,2025-11-26 18:00:00,SOL/USD,140.672,144.636,140.672,144.6,11796.70609,1705803.700614
1764176400000,2025-11-26 17:00:00,SOL/USD,137.078,141.007,136.768,140.672,5973.082316,840245.435556352
1764172800000,2025-11-26 16:00:00,SOL/USD,136.64,138.071,136.463,137.078,1082.268311,148355.17553525802
1764169200000,2025-11-26 15:00:00,SOL/USD,136.186,137.4,135.773,136.64,1418.015886,193757.69066303998
1764165600000,2025-11-26 14:00:00,SOL/USD,136.704,138.271,135.725,136.186,4356.604111,593308.487460646
1764162000000,2025-11-26 13:00:00,SOL/USD,135.794,136.814,135.665,136.704,896.121739,122503.42620825602
1764158400000,2025-11-26 12:00:00,SOL/USD,136.726,137.06,135.564,135.794,1753.577118,238125.25116169202
